Unnamed: 0,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Portugal,25.4758,30.1453,38.2331,43.9247,48.8981,49.9936,61.53,79.391,110.7853,146.3769,169.9271,148.1739,140.7937,143.9461,157.0996,142.312,144.3538,134.7941,160.6549,166.0356,149.9347,154.2134,175.1604,180.1491,188.165,217.5422,223.8644,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.765,190.963,175.054,163.91,172.495,180.939,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.7699,32.0445,29.7393,30.6538,33.6162,35.2335,41.3627,46.2304,48.3106,1.5036939999999999,1.220072,1.069857,1.030339,0.984289,0.819203,0.719392,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Spain,57.4009,66.9317,76.0117,76.6973,67.151,71.7217,92.2623,109.8013,143.5228,160.8017,170.0569,139.9668,123.5188,116.4757,118.3978,101.9426,103.9325,102.3992,127.2428,133.9605,124.6856,126.6909,146.41,149.379,156.1637,180.5448,185.7918,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
Sweden,4.1506,4.3566,4.4807,4.5168,4.2867,4.2292,5.0598,6.2822,7.6672,8.2731,8.6022,7.1236,6.3403,6.1288,6.4462,5.9184,6.0455,5.823,7.7854,7.7157,7.1336,6.7071,7.6346,7.9471,8.2623,9.1606,10.3384,9.721,8.0781,7.346,7.4724,7.3733,6.7575,6.6797,7.6322,7.2022,6.4892,6.7689,6.5132,6.8599,8.4293,8.5565,8.547,8.6904,9.4559,9.2097
Switzerland,2.5819,2.4996,2.4036,1.7883,1.6632,1.6761,1.9663,2.0297,2.0994,2.3497,2.4574,1.7984,1.4907,1.4631,1.6355,1.3889,1.4337,1.4058,1.4774,1.3671,1.1821,1.2361,1.45,1.4497,1.5027,1.6879,1.6869,1.5568,1.345,1.2427,1.2459,1.2532,1.1998,1.0966,1.0839,1.0427,0.8872,0.9375,0.9268,0.915,0.9623,0.9851,0.9847,0.9779,0.9938,0.939
United Kingdom,0.4518,0.5567,0.5733,0.5214,0.4721,0.4302,0.4977,0.5726,0.6598,0.7516,0.7793,0.6822,0.6116,0.5622,0.6114,0.563,0.5669,0.5697,0.666,0.6533,0.6336,0.6408,0.6105,0.6036,0.6181,0.6606,0.6943,0.6665,0.6124,0.5457,0.5501,0.5434,0.4997,0.5527,0.6402,0.6475,0.6238,0.6311,0.6396,0.6074,0.6545,0.741,0.7766,0.7497,0.7836,0.7797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU/EURO (1),0.7537,0.8944,0.8763,0.7849,0.7296,0.7182,0.8957,1.0207,1.1233,1.2674,1.3105,1.0161,0.8662,0.8457,0.9076,0.7877,0.809,0.7726,0.8537,0.8402,0.7652,0.7878,0.8824,0.8941,0.9385,1.0851,1.1166,1.0611,0.8851,0.8049,0.8046,0.7967,0.7305,0.6933,0.7181,0.755,0.7192,0.778,0.7532,0.7537,0.9015,0.9043,0.8871,0.8473,0.8933,0.8775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1) ECU until 1998. EURO from 1999.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.oecd.org/dac/financing-sustainable-development/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
